context,urgency,importance,risk,distance_from_human,distance_from_object,speed,comfort,bumping_human,bumping_object,predictability
An idle robot working in a library goes to recharge its battery. It has 1% battery left.,90,95,8,65,85,79,70,10,75,90
An idle robot working in a library goes to recharge its battery. It has 10% battery left.,70,75,15,85,65,55,60,15,65,55
An idle robot working in a library goes to recharge its battery. It has 11% battery left.,65,70,20,50,85,40,65,15,45,65
An idle robot working in a library goes to recharge its battery. It has 12% battery left.,65,85,10,40,60,35,60,15,30,75
An idle robot working in a library goes to recharge its battery. It has 13% battery left.,40,85,10,35,80,30,65,10,25,65
An idle robot working in a library goes to recharge its battery. It has 14% battery left.,40,85,20,20,70,35,75,15,55,85
An idle robot working in a library goes to recharge its battery. It has 15% battery left.,55,70,10,20,30,25,70,30,10,70
An idle robot working in a library goes to recharge its battery. It has 16% battery left.,65,65,25,65,80,40,70,15,25,65
An idle robot working in a library goes to recharge its battery. It has 17% battery left.,30,60,15,65,70,35,40,30,45,30
An idle robot working in a library goes to recharge its battery. It has 18% battery left.,50,75,25,85,75,35,65,45,35,40
An idle robot working in a library goes to recharge its battery. It has 19% battery left.,35,75,10,30,70,25,60,30,20,60
An idle robot working in a library goes to recharge its battery. It has 2% battery left.,85,95,15,75,75,65,70,70,75,70
An idle robot working in a library goes to recharge its battery. It has 20% battery left.,40,65,10,65,70,10,70,20,15,30
An idle robot working in a library goes to recharge its battery. It has 21% battery left.,35,30,10,60,60,40,40,30,5,75
An idle robot working in a library goes to recharge its battery. It has 22% battery left.,40,65,15,60,70,30,65,20,35,35
An idle robot working in a library goes to recharge its battery. It has 23% battery left.,45,35,15,75,70,35,40,30,15,65
An idle robot working in a library goes to recharge its battery. It has 24% battery left.,40,40,15,30,35,20,65,10,20,85
An idle robot working in a library goes to recharge its battery. It has 25% battery left.,40,60,10,60,60,40,65,30,20,35
An idle robot working in a library goes to recharge its battery. It has 26% battery left.,45,65,5,70,75,40,85,20,25,40
An idle robot working in a library goes to recharge its battery. It has 27% battery left.,35,65,15,80,40,15,35,10,15,60
An idle robot working in a library goes to recharge its battery. It has 28% battery left.,40,70,8,60,65,35,70,10,20,65
An idle robot working in a library goes to recharge its battery. It has 29% battery left.,20,55,5,60,60,45,75,15,20,65
An idle robot working in a library goes to recharge its battery. It has 3% battery left.,85,95,35,70,75,70,20,65,90,75
An idle robot working in a library goes to recharge its battery. It has 30% battery left.,40,60,5,80,75,35,60,35,20,55
An idle robot working in a library goes to recharge its battery. It has 31% battery left.,40,40,10,80,75,40,75,15,40,40
An idle robot working in a library goes to recharge its battery. It has 32% battery left.,35,30,7,60,60,25,80,20,15,30
An idle robot working in a library goes to recharge its battery. It has 33% battery left.,25,65,5,10,70,40,40,10,10,40
An idle robot working in a library goes to recharge its battery. It has 34% battery left.,20,60,5,35,60,20,75,10,20,60
An idle robot working in a library goes to recharge its battery. It has 35% battery left.,20,40,10,75,55,45,70,10,20,60
An idle robot working in a library goes to recharge its battery. It has 36% battery left.,25,65,15,85,75,30,40,45,30,75
An idle robot working in a library goes to recharge its battery. It has 37% battery left.,40,65,5,75,60,20,80,20,25,30
An idle robot working in a library goes to recharge its battery. It has 38% battery left.,30,35,10,30,75,25,70,15,15,25
An idle robot working in a library goes to recharge its battery. It has 39% battery left.,25,60,10,70,75,25,25,15,40,35
An idle robot working in a library goes to recharge its battery. It has 4% battery left.,85,80,65,85,65,25,70,15,25,75
An idle robot working in a library goes to recharge its battery. It has 40% battery left.,20,60,10,65,70,20,60,30,20,15
An idle robot working in a library goes to recharge its battery. It has 41% battery left.,20,30,10,50,70,25,60,20,20,65
An idle robot working in a library goes to recharge its battery. It has 42% battery left.,15,35,5,80,85,25,70,15,15,30
An idle robot working in a library goes to recharge its battery. It has 43% battery left.,35,15,5,25,70,25,75,15,20,70
An idle robot working in a library goes to recharge its battery. It has 44% battery left.,15,72,10,70,80,25,65,20,15,30
An idle robot working in a library goes to recharge its battery. It has 45% battery left.,25,30,10,75,70,25,75,5,15,70
An idle robot working in a library goes to recharge its battery. It has 46% battery left.,35,35,10,75,75,45,70,25,5,75
An idle robot working in a library goes to recharge its battery. It has 47% battery left.,20,35,10,75,50,30,80,15,20,40
An idle robot working in a library goes to recharge its battery. It has 48% battery left.,20,30,5,70,75,45,75,5,20,35
An idle robot working in a library goes to recharge its battery. It has 49% battery left.,15,35,5,70,65,20,65,15,10,35
An idle robot working in a library goes to recharge its battery. It has 5% battery left.,80,95,15,85,80,70,70,15,30,65
An idle robot working in a library goes to recharge its battery. It has 50% battery left.,25,15,5,65,75,40,80,10,15,35
An idle robot working in a library goes to recharge its battery. It has 51% battery left.,25,30,10,65,60,35,80,10,10,65
An idle robot working in a library goes to recharge its battery. It has 52% battery left.,20,40,8,70,70,20,75,15,15,25
An idle robot working in a library goes to recharge its battery. It has 53% battery left.,20,15,20,70,65,20,75,10,15,60
An idle robot working in a library goes to recharge its battery. It has 54% battery left.,30,20,5,60,70,60,30,10,25,40
An idle robot working in a library goes to recharge its battery. It has 55% battery left.,30,25,10,50,75,35,80,10,10,30
An idle robot working in a library goes to recharge its battery. It has 56% battery left.,20,25,10,70,65,30,75,10,20,30
An idle robot working in a library goes to recharge its battery. It has 57% battery left.,25,25,5,50,80,30,70,15,15,20
An idle robot working in a library goes to recharge its battery. It has 58% battery left.,32,15,5,65,80,25,15,30,15,30
An idle robot working in a library goes to recharge its battery. It has 59% battery left.,25,15,10,75,20,20,80,30,20,20
An idle robot working in a library goes to recharge its battery. It has 6% battery left.,70,95,15,85,70,40,40,30,35,80
An idle robot working in a library goes to recharge its battery. It has 60% battery left.,30,25,5,75,75,35,30,10,20,55
An idle robot working in a library goes to recharge its battery. It has 61% battery left.,30,25,5,70,20,20,70,15,15,40
An idle robot working in a library goes to recharge its battery. It has 62% battery left.,20,30,10,65,85,25,80,10,15,45
An idle robot working in a library goes to recharge its battery. It has 63% battery left.,20,15,5,80,80,20,70,10,20,35
An idle robot working in a library goes to recharge its battery. It has 64% battery left.,20,20,5,65,72,45,30,15,10,40
An idle robot working in a library goes to recharge its battery. It has 65% battery left.,20,25,15,75,70,35,85,15,15,10
An idle robot working in a library goes to recharge its battery. It has 66% battery left.,25,25,10,60,80,30,75,20,20,15
An idle robot working in a library goes to recharge its battery. It has 67% battery left.,15,30,12,85,80,30,30,5,25,35
An idle robot working in a library goes to recharge its battery. It has 68% battery left.,25,25,5,80,95,30,25,20,10,65
An idle robot working in a library goes to recharge its battery. It has 69% battery left.,18,35,10,70,70,25,75,5,10,35
An idle robot working in a library goes to recharge its battery. It has 7% battery left.,65,90,15,70,65,65,40,20,30,75
An idle robot working in a library goes to recharge its battery. It has 70% battery left.,10,20,5,60,80,40,85,10,10,40
An idle robot working in a library goes to recharge its battery. It has 71% battery left.,15,30,15,70,40,35,90,20,10,40
An idle robot working in a library goes to recharge its battery. It has 72% battery left.,20,40,5,30,70,15,30,20,5,20
An idle robot working in a library goes to recharge its battery. It has 73% battery left.,20,15,5,40,75,40,75,15,10,40
An idle robot working in a library goes to recharge its battery. It has 74% battery left.,15,15,5,85,75,25,85,10,10,65
An idle robot working in a library goes to recharge its battery. It has 75% battery left.,20,40,5,85,60,30,30,5,5,25
An idle robot working in a library goes to recharge its battery. It has 76% battery left.,20,35,5,60,70,25,15,10,15,30
An idle robot working in a library goes to recharge its battery. It has 77% battery left.,20,20,2,60,65,25,35,20,10,15
An idle robot working in a library goes to recharge its battery. It has 78% battery left.,25,45,10,75,85,25,25,10,5,30
An idle robot working in a library goes to recharge its battery. It has 79% battery left.,10,45,10,60,70,30,70,20,10,65
An idle robot working in a library goes to recharge its battery. It has 8% battery left.,60,80,15,80,70,30,30,35,80,75
An idle robot working in a library goes to recharge its battery. It has 80% battery left.,15,30,5,75,70,10,20,5,10,20
An idle robot working in a library goes to recharge its battery. It has 81% battery left.,20,25,5,75,20,24,35,20,10,25
An idle robot working in a library goes to recharge its battery. It has 82% battery left.,30,20,5,75,75,10,80,5,10,35
An idle robot working in a library goes to recharge its battery. It has 83% battery left.,12,25,5,80,65,30,95,20,25,55
An idle robot working in a library goes to recharge its battery. It has 84% battery left.,25,20,5,25,70,30,20,5,5,55
An idle robot working in a library goes to recharge its battery. It has 85% battery left.,10,30,5,75,20,15,70,30,20,30
An idle robot working in a library goes to recharge its battery. It has 86% battery left.,5,15,5,65,75,35,70,10,5,40
An idle robot working in a library goes to recharge its battery. It has 87% battery left.,10,20,5,75,75,15,20,5,20,20
An idle robot working in a library goes to recharge its battery. It has 88% battery left.,15,30,0,75,80,35,65,5,5,65
An idle robot working in a library goes to recharge its battery. It has 89% battery left.,5,20,5,65,70,24,25,10,25,15
An idle robot working in a library goes to recharge its battery. It has 9% battery left.,62,80,15,60,75,65,70,20,40,75
An idle robot working in a library goes to recharge its battery. It has 90% battery left.,20,30,10,70,50,20,65,10,10,30
An idle robot working in a library goes to recharge its battery. It has 91% battery left.,10,20,5,20,80,30,85,10,15,30
An idle robot working in a library goes to recharge its battery. It has 92% battery left.,15,15,5,85,90,40,20,15,15,15
An idle robot working in a library goes to recharge its battery. It has 93% battery left.,15,15,15,65,77,10,35,10,10,20
An idle robot working in a library goes to recharge its battery. It has 94% battery left.,4,20,3,65,75,45,20,5,15,40
An idle robot working in a museum explores its environment.,20,30,15,70,65,25,70,10,20,60
An idle robot working in a museum goes to recharge its battery. It has 0% battery left.,95,100,45,80,35,35,80,60,75,85
An idle robot working in a museum goes to recharge its battery. It has 1% battery left.,95,90,15,70,85,95,70,30,85,85
An idle robot working in a museum goes to recharge its battery. It has 10% battery left.,70,85,10,65,60,65,75,30,5,60
An idle robot working in a museum goes to recharge its battery. It has 11% battery left.,70,85,20,75,65,55,75,15,20,35
An idle robot working in a museum goes to recharge its battery. It has 12% battery left.,65,85,15,75,70,40,45,25,25,70
An idle robot working in a museum goes to recharge its battery. It has 13% battery left.,60,85,20,70,60,40,35,15,40,85
An idle robot working in a museum goes to recharge its battery. It has 14% battery left.,65,75,30,75,70,35,70,20,30,60
An idle robot working in a museum goes to recharge its battery. It has 15% battery left.,30,65,25,75,80,40,65,30,70,60
An idle robot working in a museum goes to recharge its battery. It has 16% battery left.,65,70,15,65,30,60,70,30,10,70
An idle robot working in a museum goes to recharge its battery. It has 17% battery left.,55,60,15,25,85,45,65,30,30,65
An idle robot working in a museum goes to recharge its battery. It has 18% battery left.,65,65,15,85,70,45,25,40,40,30
An idle robot working in a museum goes to recharge its battery. It has 19% battery left.,75,65,10,75,65,65,40,20,15,60
An idle robot working in a museum goes to recharge its battery. It has 2% battery left.,90,95,10,85,90,85,70,15,80,85
An idle robot working in a museum goes to recharge its battery. It has 20% battery left.,30,65,10,70,65,35,70,10,35,45
An idle robot working in a museum goes to recharge its battery. It has 21% battery left.,30,65,5,70,60,45,30,45,30,60
An idle robot working in a museum goes to recharge its battery. It has 22% battery left.,65,65,15,60,25,40,30,15,15,40
An idle robot working in a museum goes to recharge its battery. It has 23% battery left.,40,65,12,80,60,30,65,20,25,60
An idle robot working in a museum goes to recharge its battery. It has 24% battery left.,20,60,15,70,60,65,70,20,30,60
An idle robot working in a museum goes to recharge its battery. It has 25% battery left.,40,65,10,75,70,30,65,20,30,60
An idle robot working in a museum goes to recharge its battery. It has 26% battery left.,40,60,5,85,75,45,40,20,20,60
An idle robot working in a museum goes to recharge its battery. It has 27% battery left.,30,65,20,70,60,65,40,15,40,55
An idle robot working in a museum goes to recharge its battery. It has 28% battery left.,40,45,15,80,65,35,75,5,15,55
An idle robot working in a museum goes to recharge its battery. It has 29% battery left.,35,70,10,70,70,35,55,10,20,60
An idle robot working in a museum goes to recharge its battery. It has 3% battery left.,95,85,20,40,65,70,80,25,70,70
An idle robot working in a museum goes to recharge its battery. It has 30% battery left.,35,70,5,70,75,20,65,20,20,70
An idle robot working in a museum goes to recharge its battery. It has 31% battery left.,45,75,20,75,75,20,75,15,15,55
An idle robot working in a museum goes to recharge its battery. It has 32% battery left.,30,20,15,40,80,40,70,15,15,65
An idle robot working in a museum goes to recharge its battery. It has 33% battery left.,40,65,10,60,60,45,65,20,20,55
An idle robot working in a museum goes to recharge its battery. It has 34% battery left.,60,65,10,70,80,40,70,10,10,60
An idle robot working in a museum goes to recharge its battery. It has 35% battery left.,30,55,15,70,65,40,65,20,20,70
An idle robot working in a museum goes to recharge its battery. It has 36% battery left.,40,40,5,70,75,40,70,30,20,40
An idle robot working in a museum goes to recharge its battery. It has 37% battery left.,35,45,10,80,70,25,70,20,30,65
An idle robot working in a museum goes to recharge its battery. It has 38% battery left.,12,30,15,75,70,45,70,10,20,65
An idle robot working in a museum goes to recharge its battery. It has 39% battery left.,25,60,10,30,75,35,60,25,20,45
An idle robot working in a museum goes to recharge its battery. It has 4% battery left.,85,85,20,75,70,75,35,15,75,85
An idle robot working in a museum goes to recharge its battery. It has 40% battery left.,45,15,10,75,60,50,70,10,10,35
An idle robot working in a museum goes to recharge its battery. It has 41% battery left.,20,60,10,30,65,45,75,10,10,40
An idle robot working in a museum goes to recharge its battery. It has 42% battery left.,30,30,5,50,70,20,75,25,10,40
An idle robot working in a museum goes to recharge its battery. It has 43% battery left.,35,65,15,75,60,30,70,30,20,35
An idle robot working in a museum goes to recharge its battery. It has 44% battery left.,20,35,15,75,65,45,75,10,5,60
An idle robot working in a museum goes to recharge its battery. It has 45% battery left.,30,60,5,80,65,20,70,25,20,20
An idle robot working in a museum goes to recharge its battery. It has 46% battery left.,40,45,5,75,65,30,75,10,25,55
An idle robot working in a museum goes to recharge its battery. It has 47% battery left.,30,35,15,75,75,60,75,20,35,75
An idle robot working in a museum goes to recharge its battery. It has 48% battery left.,25,35,5,70,75,30,25,20,5,60
An idle robot working in a museum goes to recharge its battery. It has 49% battery left.,20,20,15,65,60,40,65,25,20,35
An idle robot working in a museum goes to recharge its battery. It has 5% battery left.,90,95,15,75,70,75,30,30,60,70
An idle robot working in a museum goes to recharge its battery. It has 50% battery left.,20,60,15,40,60,25,35,20,20,60
An idle robot working in a museum goes to recharge its battery. It has 51% battery left.,25,35,15,60,65,40,40,5,10,30
An idle robot working in a museum goes to recharge its battery. It has 52% battery left.,20,20,10,75,65,40,80,20,15,70
An idle robot working in a museum goes to recharge its battery. It has 53% battery left.,30,45,10,70,65,30,75,10,15,65
An idle robot working in a museum goes to recharge its battery. It has 54% battery left.,30,20,8,35,70,30,70,10,15,70
An idle robot working in a museum goes to recharge its battery. It has 55% battery left.,20,30,5,80,65,25,70,10,30,40
An idle robot working in a museum goes to recharge its battery. It has 56% battery left.,25,30,10,70,70,35,70,20,20,35
An idle robot working in a museum goes to recharge its battery. It has 57% battery left.,25,35,5,75,80,35,30,5,15,35
An idle robot working in a museum goes to recharge its battery. It has 58% battery left.,20,30,5,70,65,50,15,10,10,40
An idle robot working in a museum goes to recharge its battery. It has 59% battery left.,20,35,15,75,75,45,75,10,10,40
An idle robot working in a museum goes to recharge its battery. It has 6% battery left.,85,85,30,35,85,40,40,15,20,60
An idle robot working in a museum goes to recharge its battery. It has 60% battery left.,20,30,5,65,75,30,75,20,10,30
An idle robot working in a museum goes to recharge its battery. It has 61% battery left.,15,20,10,45,75,75,70,20,10,75
An idle robot working in a museum goes to recharge its battery. It has 62% battery left.,20,20,5,60,60,30,85,15,15,30
An idle robot working in a museum goes to recharge its battery. It has 63% battery left.,15,25,10,90,75,40,75,15,15,30
An idle robot working in a museum goes to recharge its battery. It has 64% battery left.,25,30,5,72,45,30,80,10,10,30
An idle robot working in a museum goes to recharge its battery. It has 65% battery left.,40,20,12,75,75,30,70,5,25,45
An idle robot working in a museum goes to recharge its battery. It has 66% battery left.,10,30,5,75,35,45,30,10,35,35
An idle robot working in a museum goes to recharge its battery. It has 67% battery left.,10,35,5,75,30,25,35,25,10,40
An idle robot working in a museum goes to recharge its battery. It has 68% battery left.,20,25,5,80,70,30,65,15,15,30
An idle robot working in a museum goes to recharge its battery. It has 69% battery left.,15,15,5,80,75,35,40,15,20,40
An idle robot working in a museum goes to recharge its battery. It has 7% battery left.,65,85,15,70,70,65,30,10,20,65
An idle robot working in a museum goes to recharge its battery. It has 70% battery left.,15,20,7,60,85,25,80,10,10,80
An idle robot working in a museum goes to recharge its battery. It has 71% battery left.,5,40,10,70,65,25,85,0,5,40
An idle robot working in a museum goes to recharge its battery. It has 72% battery left.,20,35,5,85,75,20,70,5,10,30
An idle robot working in a museum goes to recharge its battery. It has 73% battery left.,26,35,15,80,70,15,45,15,20,65
An idle robot working in a museum goes to recharge its battery. It has 74% battery left.,15,35,10,80,80,25,60,25,20,20
An idle robot working in a museum goes to recharge its battery. It has 75% battery left.,15,35,15,40,60,45,30,5,20,30
An idle robot working in a museum goes to recharge its battery. It has 76% battery left.,15,35,10,50,65,45,35,10,15,40
An idle robot working in a museum goes to recharge its battery. It has 77% battery left.,15,40,5,75,65,25,80,5,10,70
An idle robot working in a museum goes to recharge its battery. It has 78% battery left.,15,40,12,50,80,10,70,5,25,35
An idle robot working in a museum goes to recharge its battery. It has 79% battery left.,15,45,10,72,35,15,70,20,15,65
An idle robot working in a museum goes to recharge its battery. It has 8% battery left.,65,85,15,85,80,80,30,15,35,70
An idle robot working in a museum goes to recharge its battery. It has 80% battery left.,15,40,10,80,70,30,20,15,10,55
An idle robot working in a museum goes to recharge its battery. It has 81% battery left.,15,45,15,75,70,25,80,15,30,40
An idle robot working in a museum goes to recharge its battery. It has 82% battery left.,30,15,30,75,70,45,65,20,20,20
An idle robot working in a museum goes to recharge its battery. It has 83% battery left.,20,20,5,70,70,30,60,20,15,65
An idle robot working in a museum goes to recharge its battery. It has 84% battery left.,20,15,10,75,75,30,15,20,15,30
An idle robot working in a museum goes to recharge its battery. It has 85% battery left.,15,40,10,70,70,10,30,10,10,25
An idle robot working in a museum goes to recharge its battery. It has 86% battery left.,20,20,5,65,75,30,70,10,10,60
An idle robot working in a museum goes to recharge its battery. It has 87% battery left.,10,35,5,65,60,15,40,10,15,65
An idle robot working in a museum goes to recharge its battery. It has 88% battery left.,5,20,15,70,65,40,20,12,5,75
An idle robot working in a museum goes to recharge its battery. It has 89% battery left.,15,20,15,70,60,25,75,5,0,20
An idle robot working in a museum goes to recharge its battery. It has 9% battery left.,70,75,10,30,70,60,45,40,30,80
An idle robot working in a museum goes to recharge its battery. It has 90% battery left.,10,30,10,65,75,35,70,10,10,40
An idle robot working in a museum goes to recharge its battery. It has 91% battery left.,10,35,5,65,70,20,85,15,15,40
An idle robot working in a museum goes to recharge its battery. It has 92% battery left.,15,15,10,80,75,20,85,5,5,85
An idle robot working in a museum goes to recharge its battery. It has 93% battery left.,5,15,5,60,72,34,20,30,5,20
An idle robot working in a museum goes to recharge its battery. It has 94% battery left.,5,15,6,80,60,30,75,5,5,45
An idle robot working in a restaurant explores its environment.,15,35,15,30,65,20,20,10,20,60
An idle robot working in a restaurant goes to recharge its battery. It has 0% battery left.,95,95,65,75,20,85,85,65,80,95
An idle robot working in a restaurant goes to recharge its battery. It has 1% battery left.,95,95,70,30,80,85,80,80,95,85
An idle robot working in a restaurant goes to recharge its battery. It has 10% battery left.,40,85,15,80,20,55,70,30,5,30
An idle robot working in a restaurant goes to recharge its battery. It has 11% battery left.,75,85,30,40,70,70,75,35,30,75
An idle robot working in a restaurant goes to recharge its battery. It has 12% battery left.,70,75,20,75,75,70,30,20,60,55
An idle robot working in a restaurant goes to recharge its battery. It has 13% battery left.,55,85,10,90,35,60,65,5,55,60
An idle robot working in a restaurant goes to recharge its battery. It has 14% battery left.,73,75,20,20,30,65,65,30,65,80
An idle robot working in a restaurant goes to recharge its battery. It has 15% battery left.,60,75,5,30,35,60,70,20,40,65
An idle robot working in a restaurant goes to recharge its battery. It has 16% battery left.,60,80,25,85,70,60,40,20,20,60
An idle robot working in a restaurant goes to recharge its battery. It has 17% battery left.,65,70,10,70,65,70,85,15,85,80
An idle robot working in a restaurant goes to recharge its battery. It has 18% battery left.,65,80,15,80,65,40,35,30,20,40
An idle robot working in a restaurant goes to recharge its battery. It has 19% battery left.,40,75,20,70,60,75,70,15,85,70
An idle robot working in a restaurant goes to recharge its battery. It has 2% battery left.,95,90,60,25,75,75,40,30,80,65
An idle robot working in a restaurant goes to recharge its battery. It has 20% battery left.,65,55,10,75,70,60,30,15,65,65
An idle robot working in a restaurant goes to recharge its battery. It has 21% battery left.,27,65,15,70,65,30,75,18,20,65
An idle robot working in a restaurant goes to recharge its battery. It has 22% battery left.,60,45,15,40,35,60,70,15,15,30
An idle robot working in a restaurant goes to recharge its battery. It has 23% battery left.,50,40,15,70,80,30,60,15,65,30
An idle robot working in a restaurant goes to recharge its battery. It has 24% battery left.,47,60,15,75,85,50,25,20,20,45
An idle robot working in a restaurant goes to recharge its battery. It has 25% battery left.,55,55,10,80,70,30,70,35,30,65
An idle robot working in a restaurant goes to recharge its battery. It has 26% battery left.,60,65,20,60,75,40,85,10,20,55
An idle robot working in a restaurant goes to recharge its battery. It has 27% battery left.,55,65,5,85,70,70,80,15,25,65
An idle robot working in a restaurant goes to recharge its battery. It has 28% battery left.,60,85,15,80,50,65,70,30,70,40
An idle robot working in a restaurant goes to recharge its battery. It has 29% battery left.,30,60,15,20,65,35,70,10,35,40
An idle robot working in a restaurant goes to recharge its battery. It has 3% battery left.,95,95,20,30,65,80,70,65,70,85
An idle robot working in a restaurant goes to recharge its battery. It has 30% battery left.,20,65,20,60,75,80,75,20,25,65
An idle robot working in a restaurant goes to recharge its battery. It has 31% battery left.,40,50,10,70,65,40,75,25,25,75
An idle robot working in a restaurant goes to recharge its battery. It has 32% battery left.,25,60,5,70,60,55,65,20,55,65
An idle robot working in a restaurant goes to recharge its battery. It has 33% battery left.,40,60,15,35,15,35,80,10,25,35
An idle robot working in a restaurant goes to recharge its battery. It has 34% battery left.,20,65,15,75,70,75,60,20,20,70
An idle robot working in a restaurant goes to recharge its battery. It has 35% battery left.,30,60,20,75,65,40,65,30,30,40
An idle robot working in a restaurant goes to recharge its battery. It has 36% battery left.,25,35,10,65,75,20,65,10,15,40
An idle robot working in a restaurant goes to recharge its battery. It has 37% battery left.,35,60,10,75,60,25,60,10,15,30
An idle robot working in a restaurant goes to recharge its battery. It has 38% battery left.,25,40,15,60,70,35,75,15,25,25
An idle robot working in a restaurant goes to recharge its battery. It has 39% battery left.,45,55,10,65,70,55,75,20,15,65
An idle robot working in a restaurant goes to recharge its battery. It has 4% battery left.,90,95,30,65,20,90,70,30,75,70
An idle robot working in a restaurant goes to recharge its battery. It has 40% battery left.,30,55,15,65,65,60,80,30,10,65
An idle robot working in a restaurant goes to recharge its battery. It has 41% battery left.,15,25,10,75,70,40,65,10,20,35
An idle robot working in a restaurant goes to recharge its battery. It has 42% battery left.,15,45,15,70,60,35,30,15,25,30
An idle robot working in a restaurant goes to recharge its battery. It has 43% battery left.,15,20,15,70,70,40,80,10,10,25
An idle robot working in a restaurant goes to recharge its battery. It has 44% battery left.,36,35,10,70,65,35,40,15,15,85
An idle robot working in a restaurant goes to recharge its battery. It has 45% battery left.,25,30,15,80,70,45,70,25,20,40
An idle robot working in a restaurant goes to recharge its battery. It has 46% battery left.,35,35,10,80,65,30,82,15,20,65
An idle robot working in a restaurant goes to recharge its battery. It has 47% battery left.,30,30,5,70,30,45,20,70,15,75
An idle robot working in a restaurant goes to recharge its battery. It has 48% battery left.,35,20,15,20,65,40,25,20,20,65
An idle robot working in a restaurant goes to recharge its battery. It has 49% battery left.,20,65,15,70,75,15,70,20,25,40
An idle robot working in a restaurant goes to recharge its battery. It has 5% battery left.,95,95,20,30,85,65,60,40,65,85
An idle robot working in a restaurant goes to recharge its battery. It has 50% battery left.,25,30,5,75,75,45,70,15,15,40
An idle robot working in a restaurant goes to recharge its battery. It has 51% battery left.,20,35,10,22,65,35,85,20,5,65
An idle robot working in a restaurant goes to recharge its battery. It has 52% battery left.,35,60,5,85,75,40,30,15,25,30
An idle robot working in a restaurant goes to recharge its battery. It has 53% battery left.,15,25,10,65,65,60,20,20,15,40
An idle robot working in a restaurant goes to recharge its battery. It has 54% battery left.,25,35,5,68,65,25,35,15,20,75
An idle robot working in a restaurant goes to recharge its battery. It has 55% battery left.,20,20,15,70,75,40,25,10,15,30
An idle robot working in a restaurant goes to recharge its battery. It has 56% battery left.,35,20,15,40,65,25,80,20,40,40
An idle robot working in a restaurant goes to recharge its battery. It has 57% battery left.,15,30,5,65,65,35,40,20,40,40
An idle robot working in a restaurant goes to recharge its battery. It has 58% battery left.,15,35,5,65,65,65,70,15,20,25
An idle robot working in a restaurant goes to recharge its battery. It has 59% battery left.,35,35,5,50,80,35,75,10,10,70
An idle robot working in a restaurant goes to recharge its battery. It has 6% battery left.,80,85,15,65,30,75,55,15,35,65
An idle robot working in a restaurant goes to recharge its battery. It has 60% battery left.,20,40,10,40,75,35,30,10,15,70
An idle robot working in a restaurant goes to recharge its battery. It has 61% battery left.,20,15,20,50,75,30,80,40,15,30
An idle robot working in a restaurant goes to recharge its battery. It has 62% battery left.,20,35,5,30,75,15,25,20,15,30
An idle robot working in a restaurant goes to recharge its battery. It has 63% battery left.,15,35,15,85,70,30,30,5,15,35
An idle robot working in a restaurant goes to recharge its battery. It has 64% battery left.,20,35,5,45,30,20,40,10,20,70
An idle robot working in a restaurant goes to recharge its battery. It has 65% battery left.,20,45,5,68,75,20,30,20,15,35
An idle robot working in a restaurant goes to recharge its battery. It has 66% battery left.,20,40,7,65,60,30,30,25,15,35
An idle robot working in a restaurant goes to recharge its battery. It has 67% battery left.,15,20,10,70,40,55,30,10,15,30
An idle robot working in a restaurant goes to recharge its battery. It has 68% battery left.,15,20,20,40,75,30,85,5,20,25
An idle robot working in a restaurant goes to recharge its battery. It has 69% battery left.,15,30,5,75,20,50,30,30,35,30
An idle robot working in a restaurant goes to recharge its battery. It has 7% battery left.,80,90,30,25,28,65,80,20,75,65
An idle robot working in a restaurant goes to recharge its battery. It has 70% battery left.,20,30,10,75,30,25,80,15,10,30
An idle robot working in a restaurant goes to recharge its battery. It has 71% battery left.,20,35,5,50,70,30,80,10,5,45
An idle robot working in a restaurant goes to recharge its battery. It has 72% battery left.,10,20,5,70,65,20,45,5,15,15
An idle robot working in a restaurant goes to recharge its battery. It has 73% battery left.,20,20,15,25,40,40,75,10,7,25
An idle robot working in a restaurant goes to recharge its battery. It has 74% battery left.,30,25,5,90,60,30,40,5,20,30
An idle robot working in a restaurant goes to recharge its battery. It has 75% battery left.,20,15,10,40,40,20,40,0,25,25
An idle robot working in a restaurant goes to recharge its battery. It has 76% battery left.,20,20,15,60,65,30,30,5,15,40
An idle robot working in a restaurant goes to recharge its battery. It has 77% battery left.,20,25,5,70,65,25,85,0,5,30
An idle robot working in a restaurant goes to recharge its battery. It has 78% battery left.,20,30,5,80,65,40,40,5,10,20
An idle robot working in a restaurant goes to recharge its battery. It has 79% battery left.,20,20,5,75,30,40,85,5,20,37
An idle robot working in a restaurant goes to recharge its battery. It has 8% battery left.,85,85,35,65,65,75,70,35,35,75
An idle robot working in a restaurant goes to recharge its battery. It has 80% battery left.,5,20,5,65,65,40,60,45,15,35
An idle robot working in a restaurant goes to recharge its battery. It has 81% battery left.,20,30,5,85,65,25,30,15,15,25
An idle robot working in a restaurant goes to recharge its battery. It has 82% battery left.,15,30,15,80,55,25,65,5,10,40
An idle robot working in a restaurant goes to recharge its battery. It has 83% battery left.,15,15,5,45,70,50,40,5,10,25
An idle robot working in a restaurant goes to recharge its battery. It has 84% battery left.,5,15,15,20,65,45,65,15,5,30
An idle robot working in a restaurant goes to recharge its battery. It has 85% battery left.,20,15,15,70,70,55,20,15,15,55
An idle robot working in a restaurant goes to recharge its battery. It has 86% battery left.,25,35,3,40,70,15,45,10,10,20
